Username,Groupname
SGhantous,jira-users
giribe,jira-users
Xydom,jira-administrators
MOng,jira-servicedesk-users
dpurwandari,tempo-jakarta-users
HUddin,jira-software-users
gsimoni,tempo-calgary-users
NGUPTA,jira-users
TMorales,tempo-calgary-users
skumar,jira-Calgary-users
mduarte,jira-software-users
pceja,tempo-calgary-users
kdykman,jira-users
gsimoni,jira-exec
baribowo,jira-users
OZeaiter,tempo-calgary-users
RSantos,jira-users
dcahyono,jira-users
gwijayanto,tempo-jakarta-users
FRamirez,jira-software-users
jsimmons,jira-administrators
addon_io.tempo.jira,jira-users
jbonilla,jira-users
AGarcia,jira-Calgary-users
557057:1d60fd81-a7e5-4698-b042-fe38d69c9c0d,system-administrators
TMorales,jira-software-users
HUddin,tempo-calgary-users
Chamuli,Tempo-TimeTracking
baribowo,jira-jakarta-users
dforden,jira-exec
dcahyono,jira-jakarta-users
tkretschmer,tempo-calgary-users
BBrown,jira-users
dforden,tempo-jakarta-users
dpratama,tempo-jakarta-users
FRamirez,tempo-calgary-users
giribe,jira-Calgary-users
SGhantous,jira-Calgary-users
kkwok,jira-users
OZeaiter,jira-software-users
557057:1d60fd81-a7e5-4698-b042-fe38d69c9c0d,site-admins
JLucas,jira-software-users
sshannon,jira-Calgary-users
jrodriguez,jira-software-users
lmperez,jira-users
addon_is.origo.jira.tempo-plugin,atlassian-addons-admin
pswoboda,jira-users
wnugroho,jira-jakarta-users
SDiaz,jira-users
jkong,jira-software-users
JDiaz,jira-users
jscheiwiller,jira-users
adoublet,tempo-calgary-users
vlevshin,jira-Calgary-users
SSaleem,Tempo-TimeTracking
kkwok,jira-administrators
BMartinez,jira-users
addon_is.origo.jira.tempo-plugin,atlassian-addons
OAvalos,tempo-calgary-users
tkretschmer,tempo-admin
NMehta,tempo-calgary-users
gsimoni,tempo-team-managers
sshannon,jira-users
APonce,jira-users
kdykman,Tempo-TimeTracking
DWyllie,tempo-calgary-users
JDiaz,jira-Calgary-users
administrator,jira-administrators
SDiaz,jira-Calgary-users
pswoboda,jira-Calgary-users
SPradhan,tempo-calgary-users
vlevshin,jira-users
aharo,jira-users
ehernandez,jira-users
jscheiwiller,jira-Calgary-users
kkwok,Tempo-TimeTracking
dforden,tempo-team-managers
Stefan.Goga,jira-software-users

